453
0	1	0
2	2	1
3	3	1
4	5	2
6	7	0
8	9	2
10	11	0
12	13	0
14	15	0
16	16	1
17	9	2
18	19	2
20	21	0
22	22	1
23	18	0
24	25	2
26	26	1
27	28	0
15	11	3
29	30	0
31	32	2
29	33	0
34	34	1
35	36	1
37	37	1
38	38	0
31	0	4
15	31	0
33	39	4
40	41	5
42	42	6
43	44	0
23	45	0
46	23	0
9	19	0
43	47	2
15	23	4
4	32	0
48	49	0
50	51	0
4	52	0
7	7	1
53	7	0
54	54	1
55	56	0
51	57	0
50	9	2
31	58	0
16	59	1
60	60	7
61	19	2
62	47	0
63	47	0
16	18	0
51	9	0
13	25	0
0	64	2
43	47	0
51	50	0
2	57	0
51	19	0
65	65	1
39	3	2
11	15	0
22	19	0
66	19	2
32	4	3
67	68	2
23	57	2
28	28	1
18	23	0
69	69	1
63	70	8
7	15	4
21	18	0
71	71	1
18	0	0
19	72	0
73	73	8
61	18	0
74	5	0
75	32	0
31	15	4
54	50	0
76	76	1
77	57	2
59	21	1
5	18	0
78	60	9
79	79	1
80	80	1
81	10	0
82	19	2
83	83	1
15	31	3
84	84	1
61	5	2
85	72	0
86	62	0
87	88	0
33	29	4
36	36	1
50	33	0
88	88	1
88	5	0
15	23	3
8	39	2
57	9	2
4	18	0
33	33	1
89	89	1
16	59	0
61	61	1
0	73	0
90	90	10
32	32	1
41	41	1
0	58	4
52	7	0
42	42	11
9	72	0
8	18	0
16	19	2
25	91	2
61	92	0
77	26	0
7	11	4
23	15	0
62	93	0
19	18	0
0	38	0
39	33	0
91	18	0
77	83	0
3	30	0
56	15	0
72	85	0
15	15	1
94	94	1
0	15	0
79	63	0
8	95	0
96	97	0
98	98	1
77	5	2
56	56	0
21	57	0
23	61	12
19	9	3
99	100	0
101	59	2
49	101	0
9	39	2
5	91	0
8	19	0
30	30	1
4	73	0
102	102	1
19	85	4
103	66	2
15	91	2
73	73	1
34	104	0
105	105	1
49	48	1
50	32	0
16	21	0
16	0	0
60	23	0
4	0	6
5	3	4
33	39	0
50	64	0
54	8	0
31	31	13
85	5	0
61	77	0
51	18	0
82	106	0
107	108	0
19	5	4
58	109	4
81	81	1
85	85	1
107	23	0
48	49	1
83	23	0
23	90	14
19	85	0
96	15	0
14	97	0
51	51	1
19	22	0
77	26	2
0	50	0
22	9	2
40	42	0
9	5	2
110	110	1
5	3	3
23	18	3
111	111	1
15	31	4
20	20	1
63	16	0
73	52	1
98	16	0
20	112	0
5	19	3
113	114	0
62	62	1
5	19	0
15	10	0
107	115	0
104	104	1
101	101	1
87	87	1
43	43	1
72	19	0
25	25	13
105	61	0
4	64	0
51	19	2
63	116	0
7	25	0
41	41	15
64	50	12
0	50	2
19	19	1
6	6	1
34	73	5
90	77	0
4	4	1
52	73	0
42	42	1
5	102	0
90	23	0
52	52	1
23	15	3
38	38	1
25	25	1
50	39	0
117	117	1
118	119	0
120	120	1
56	71	0
15	56	0
57	19	0
91	91	1
0	0	1
5	9	0
18	121	0
15	0	0
4	32	4
12	12	1
44	63	0
5	74	0
122	122	1
3	5	4
117	115	0
81	7	0
17	9	16
54	19	0
116	79	4
9	85	0
32	4	4
77	35	0
21	21	1
0	109	0
63	63	1
34	34	0
18	23	3
72	9	0
51	4	0
98	59	0
19	5	3
29	29	1
19	57	0
4	50	0
5	3	2
16	57	0
0	31	4
15	7	0
50	8	0
108	108	1
3	5	3
93	93	1
63	101	17
96	96	1
28	7	0
16	28	0
99	99	1
13	25	4
96	4	2
7	123	0
59	21	0
5	9	4
51	9	2
70	70	1
78	78	1
15	7	4
43	45	0
50	0	0
15	58	0
32	0	0
116	116	1
6	53	5
50	4	0
91	57	4
106	106	1
75	3	0
63	59	2
19	9	0
16	21	4
21	59	0
53	24	0
21	21	0
4	124	0
68	68	1
124	124	1
7	15	3
64	50	0
97	97	1
125	125	1
61	126	0
17	28	0
57	57	1
64	64	1
49	49	1
121	18	1
45	43	0
34	73	0
15	7	3
32	4	0
23	127	12
0	10	0
0	58	3
21	57	2
26	77	0
128	128	1
129	129	1
85	9	0
63	79	4
31	31	1
50	64	4
65	16	0
43	31	0
16	21	1
0	25	0
75	75	1
7	15	0
85	19	0
18	121	1
63	79	0
60	66	0
33	39	3
130	130	1
72	85	1
124	62	0
11	15	3
119	118	0
0	4	0
56	56	1
50	4	3
26	21	0
82	82	1
20	98	0
11	11	1
95	18	0
53	53	1
39	39	1
3	75	0
9	9	1
50	3	0
77	5	0
31	15	3
24	24	1
44	44	1
15	11	0
42	76	0
36	130	0
131	7	0
36	77	1
33	18	0
31	15	0
109	15	0
132	132	1
23	23	1
133	133	1
50	50	1
43	50	0
28	15	0
134	33	2
135	101	0
50	32	4
32	18	0
27	27	1
8	8	1
57	2	17
121	57	0
22	23	0
43	15	0
5	3	0
136	136	1
62	60	4
90	90	1
137	137	1
17	121	5
55	78	0
138	118	0
51	91	2
109	58	4
7	7	7
23	15	4
139	139	1
7	81	0
48	116	0
0	32	0
77	22	0
140	104	8
25	16	2
141	141	1
109	38	3
59	59	1
8	5	0
99	25	2
5	19	4
85	19	4
7	57	0
61	57	0
19	5	2
51	61	0
22	9	0
58	15	0
75	0	6
43	56	0
97	96	0
47	42	0
23	104	12
121	28	0
3	32	0
142	23	0
143	143	1
144	121	5
145	5	0
146	146	1
127	126	18
147	61	0
148	57	0
113	83	0
149	52	0
150	52	0
151	115	0
